Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
140,Staples,61503,Retailing,Specialty Retailers: Other,Framingham,Shira D. Goodman,"President, Chief Executive Officer & Director",20217,-4,-1497,-494.8,8271
141,Plains GP Holdings,5100,Energy,Pipelines,Houston,Greg L. Armstrong,Chairman & Chief Executive Officer,20182,-12.8,94,-20.3,26103
142,Penske Automotive Group,24000,Retailing,"Automotive Retailing, Services",Bloomfield Hills,Roger S. Penske,Chairman & Chief Executive Officer,20143,4,342.9,5.2,8861
143,Union Pacific,42919,Transportation,Railroads,Omaha,Lance M. Fritz,"President, Chief Executive Officer, COO & Director",19941,-8.6,4233,-11.3,55718
144,Danaher,62000,Technology,"Scientific, Photographic and Control Equipment",Washington,Thomas P. Joyce Jr.,"President, Chief Executive Officer & Director",19912,-4.8,2553.7,-23.9,45295
145,Southern,32015,Energy,Utilities: Gas and Electric,Atlanta,Thomas A. Fanning,"Chairman, President & Chief Executive Officer",19896,13.8,2448,3.4,109697
146,ManpowerGroup,28000,Business Services,Temporary Help,Milwaukee,Jonas Prising,Chairman & Chief Executive Officer,19654,1.7,443.7,5.8,7574
147,Bristol-Myers Squibb,25000,Health Care,Pharmaceuticals,New York,Giovanni Caforio,Chief Executive Officer & Director,19427,17.3,4457,184.8,33707
148,Altria Group,8300,"Food, Beverages & Tobacco",Tobacco,Richmond,Martin J. Barrington,"Chairman, President & Chief Executive Officer",19337,2.6,14239,171.7,45932
149,Fluor,61551,Engineering & Construction,"Engineering, Construction",Irving,David T. Seaton,Chairman & Chief Executive Officer,19037,5.1,281.4,-31.8,9216
150,Kohl’s,85000,Retailing,General Merchandisers,Menomonee Falls,Kevin Mansell,"Chairman, President & Chief Executive Officer",18686,-2.7,556,-17.4,13574
151,Lear,148400,Motor Vehicles & Parts,Motor Vehicles and Parts,Southfield,Matthew J. Simoncini,"President, Chief Executive Officer & Director",18558,1.9,975.1,30.8,9901
152,Jabil Circuit,138000,Technology,Semiconductors and Other Electronic Components,St. Petersburg,Mark T. Mondello,Chief Executive Officer & Director,18353,2.5,254.1,-10.5,10323
153,Hartford Financial Services Group,16900,Financials,Insurance: Property and Casualty (Stock),Hartford,Christopher J. Swift,Chairman & Chief Executive Officer,18300,-0.4,896,-46.7,223432
154,Thermo Fisher Scientific,54800,Technology,"Scientific, Photographic and Control Equipment",Waltham,Marc N. Casper,"President, Chief Executive Officer & Director",18274,7.7,2021.8,2.3,45908
155,Kimberly-Clark,42000,Household Products,Household and Personal Products,Irving,Thomas J. Falk,Chairman & Chief Executive Officer,18202,-2.1,2166,113.8,14602
156,Molina Healthcare,21000,Health Care,Health Care: Insurance and Managed Care,Long Beach,Jospeh W. White,Interim President & Chief Executive Officer,17782,25.4,52,-63.6,7449
157,PG&E Corp.,24000,Energy,Utilities: Gas and Electric,San Francisco,Geisha J. Williams,"President, Chief Executive Officer & Director",17666,4.9,1393,59.4,68598
158,Supervalu,38000,Food & Drug Stores,Food and Drug Stores,Eden Prairie,Mark Gross,"President, Chief Executive Officer & Director",17529,-1.6,178,-7.3,4370
159,Cummins,55400,Industrials,Industrial Machinery,Columbus,N. Thomas Linebarger,Chairman & Chief Executive Officer,17509,-8.4,1394,-0.4,15011
160,CenturyLink,40000,Telecommunications,Telecommunications,Monroe,Glen F. Post III,"President, Chief Executive Officer & Director",17470,-2.4,626,-28.7,47017
161,AECOM,87000,Engineering & Construction,"Engineering, Construction",Los Angeles,Michael S. Burke,Chairman & Chief Executive Officer,17411,-3.2,96.1,-28.7,13727
162,Xerox,133600,Technology,Computer Peripherals,Norwalk,Jeffrey Jacobson,Chief Executive Officer & Director,17126,-8.2,-477,-200.6,18145
163,Marriott International,226500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Bethesda,Arne M. Sorenson,"President, Chief Executive Officer & Director",17072,17.9,780,-9.2,24140
164,Paccar,23000,Industrials,Construction and Farm Machinery,Bellevue,Ronald E. Armstrong,Chief Executive Officer & Director,17033,-10.9,521.7,-67.5,20639
165,General Mills,39000,"Food, Beverages & Tobacco",Food Consumer Products,Minneapolis,Jeffrey L. Harmening,Chief Executive Officer & Director,16563,-6.1,1697.4,39,21712
166,PNC Financial Services Group,50683,Financials,Commercial Banks,Pittsburgh,William S. Demchak,"Chairman, President & Chief Executive Officer",16423,0.9,3903,-4.9,366380
167,American Electric Power,17634,Energy,Utilities: Gas and Electric,Columbus,Nicholas K. Akins,"Chairman, President & Chief Executive Officer",16380,-3.1,610.9,-70.2,63468
168,Icahn Enterprises,90980,Financials,Diversified Financials,New York,Keith Cozza,"President, Chief Executive Officer & Director",16348,7,-1128,-70.2,33335
169,Nucor,23900,Materials,Metals,Charlotte,John J. Ferriola,"Chairman, President & Chief Executive Officer",16208,-1.4,796.3,122.6,15224
170,NextEra Energy,14700,Energy,Utilities: Gas and Electric,Juno Beach,James L. Robo,"Chairman, President & Chief Executive Officer",16155,-7.6,2912,5.8,89993
171,Performance Food Group,13000,Wholesalers,Wholesalers: Food and Grocery,Richmond,George L. Holm,"President, Chief Executive Officer & Director",16105,5.5,68.3,20.9,3455
172,PBF Energy,3165,Energy,Petroleum Refining,Parsippany,Thomas J. Nimbley,Chairman & Chief Executive Officer,15920,21.3,170.8,16.7,7622
173,Halliburton,50000,Energy,"Oil and Gas Equipment, Services",Houston,Jeffrey A. Miller,"President, Chief Executive Officer & Director",15887,-32.8,-5763,16.7,27000
174,CarMax,22429,Retailing,"Automotive Retailing, Services",Richmond,William D. Nash,"President, Chief Executive Officer & Director",15833,6.4,623.4,4.4,14482
175,Freeport-McMoRan,30000,Energy,"Mining, Crude-Oil Production",Phoenix,Richard C. Adkerson,"President, Chief Executive Officer & Director",15789,-0.6,-4154,4.4,37317
176,Whole Foods Market,73515,Food & Drug Stores,Food and Drug Stores,Austin,John P. Mackey,Chief Executive Officer & Director,15724,2.2,507,-5.4,6341
177,Bank of New York Mellon,52000,Financials,Commercial Banks,New York,Gerald L. Hassell,Chairman & Chief Executive Officer,15683,1,3547,12.3,333469
178,Gap,135000,Retailing,Specialty Retailers: Apparel,San Francisco,Arthur L. Peck,"President, Chief Executive Officer & Director",15516,-1.8,676,-26.5,7610
179,Omnicom Group,78500,Business Services,"Advertising, Marketing",New York,John D. Wren,"President, Chief Executive Officer & Director",15417,1.9,1148.6,5,23165
180,Genuine Parts,40000,Wholesalers,Wholesalers: Diversified,Atlanta,Paul D. Donahue,"President, Chief Executive Officer & Director",15340,0.4,687.2,-2.6,8859
181,DaVita,70300,Health Care,Health Care: Medical Facilities,Denver,Kent J. Thiry,Co-Chairman & Chief Executive Officer,15197,6.9,879.9,226.2,18741
182,Colgate-Palmolive,36700,Household Products,Household and Personal Products,New York,Ian M. Cook,"Chairman, President & Chief Executive Officer",15195,-5.2,2441,76.4,12123
183,PPG Industries,47000,Chemicals,Chemicals,Pittsburgh,Michael H. McGarry,Chairman & Chief Executive Officer,15178,-1,877,-37.6,15769
184,Goodyear Tire & Rubber,66000,Motor Vehicles & Parts,Motor Vehicles and Parts,Akron,Richard J. Kramer,"Chairman, President & Chief Executive Officer",15158,-7.8,1264,311.7,16511
185,Synchrony Financial,15000,Financials,Diversified Financials,Stamford,Margaret M. Keane,"President, Chief Executive Officer & Director",15122,11,2251,1.7,90207
186,DISH Network,16000,Telecommunications,Telecommunications,Englewood,Charles W. Ergen,Chairman & Chief Executive Officer,15095,0.2,1449.9,94.1,28092
187,Visa,14200,Business Services,Financial Data Services,Foster City,Alfred F. Kelly Jr.,Chief Executive Officer & Director,15082,8.7,5991,-5.3,64035
188,Nordstrom,72500,Retailing,General Merchandisers,Seattle,Blake W. Nordstrom,"Principal Executive Officer, Co-President and Director",14757,2.2,354,-41,7858
189,INTL FCStone,1464,Financials,Diversified Financials,New York,Sean M. O'Connor,"President, Chief Executive Officer & Director",14755,-57.5,54.7,-1.8,5951
190,WestRock,39000,Materials,"Packaging, Containers",Richmond,Steven C. Voorhees,Chief Executive Officer & Director,14706,29.2,-396.3,-178.2,23038
191,XPO Logistics,87000,Transportation,Transportation and Logistics,Greenwich,Bradley S. Jacobs,Chairman & Chief Executive Officer,14619,91.8,69,-178.2,11698
